ID	Label	Entity Short Form	Tags	Type	SubType	Description	OrgClass	OrgSubType	Portfolio	URL	Source of Entry	Admin Notes	Data Provider	Record Status	Last Modified By	Created	French Entity Full Name	French Short Form	French Description	French URL
GCDE:0004266	Adjusted Precipitation (AHCCD)		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/426fd4a4-f452-47ed-83d5-1ed9d6687251	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004661	ADM Committee on Climate Plan Implementation (ADM CPI)	ADM CPI	Climate, Governance	Committees			GC Interdepartmental							Legacy	Thom Kearney	2/25/2022				
GCDE:0005358	ADM Committee on Data & Information (ADM CDI)		DataCentric , Governance	Committees		ADM committee out of Chief Data Office at TBS	Government of Canada							Essential data complete	Thom Kearney	1/20/2023	Innovation en ressources humaines			
GCDE:0005231	ADM Committee on Data and Information			Committees	Committees	Created to coordinate and align departments, and provide input and endorsement of initiatives, products that are created in various data teams.	GC Interdepartmental							New - Awaiting review	Thom Kearney	10/19/2022				
GCDE:0000786	ADM Committee on Service and Enterprise Priorities	ADM SEP	Governance, DataCentric , DigitalAmbition	Committees	Committees	ADMled working group to prepare recommendations for enterprise data and information.	GC Interdepartmental			https://gcconnex.gc.ca/file/download/83306946				Legacy	Thom Kearney	8/26/2021				
GCDE:0000003	ADM Committees on Enterprise Priorities and Planning 	ADM CEPP	Governance, DataCentric , DataTalent, DigitalTalent	Committees	Committees	ADM level committee through principlesbased prioritization and a riskbased approach to balancing capacity and demand, these committees drive the alignment of IT and ITenabled initiatives to enterprisewide business priorities.	GC Interdepartmental			https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/evp-pvp/spb-dgps-eng.html	Original Prototype			Legacy	Thom Kearney	1/27/2021	Comité de niveau SMA partant d’un processus d’établissement des priorités fondé sur des principes et d’une approche fondée sur les risques visant à équilibrer les capacités et la demande, ces comités guident l’harmonisation de la TI et des initiatives de TI avec les priorités opérationnelles pangouvernementales. Les résultats attendus de ce modèle de gouvernance comprennent une augmentation de la valeur du portefeuille de TI du gouvernement du Canada et une amélioration de l’exécution des programmes et de la prestation des services.		Comit de sousministres adjoints sur les priorits et la planification intgres SMA CPPI	https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/evp-pvp/spb-dgps-fra.html
GCDE:0000747	ADM Service and Enterprise Priorities  Working Group for Data and Information		DataCentric 	Working Groups	Working Groups	The ADM SEP Working Group for Data and Information was established for a sixmonth period to support ADM SEP in addressing its mandate for leadership and direction in enterprise data and information. The Working Group will provide strategic advice and recommendations on foundational elements of enterprisewide data and information governance required to enable the responsible use and management of information and data as strategic assets and maximize the public value of data in the Government of Canada.	Government of Canada					Has finished its task. June 2022. Produced a report.		Legacy	Thom Kearney	8/11/2021				
GCDE:0004776	Advanced Policy Analyst Program (APAP)		DataTalent	Programs and Services	Programs	Advanced Policy Analyst Program APAP referenced as a best practice that could inform x000ba development program that would allow movement of talent through departmental CDOs.	Government of Canada			https://www.csps-efpc.gc.ca/catalogue/programs/apap-eng.aspx				Legacy	Thom Kearney	3/31/2022	Programme avancé pour les analystes de politiques		Le Programme avanc pour les analystes de politiques PAAP est un programme de perfectionnement professionnel et en leadership stimulant de trois ans visant la formation danalystes de lconomie et des politiques publiques. Il offre une occasion de perfectionnement unique aux tudiants rcemment diplôms qui entrent au service de la fonction publique fdrale.	https://www.csps-efpc.gc.ca/catalogue/programs/apap-fra.aspx
GCDE:0005289	Advancing the Agile Maturity Assessment Model		DigitalTalent, Agile	Knowledge Sharing Product		From Dec 2022  Digital Talent Data Quest workshop  Agile maturity models  how do we get there where do we start from chaos and fighting fires to continuous growth, learning, knowledge sharing etc... eghttpskulkarniprasadp.medium.comadvancingtheagilematurityassessmentmodelfed2e8d9cb63 sustainable teams.. fighting fires and chaos will burn teams out	Other			https://kulkarniprasadp.medium.com/advancing-the-agile-maturity-assessment-model-fed2e8d9cb63	Dec 2022 Data Quest			New - Awaiting review	Thom Kearney	12/14/2022				
GCDE:0000821	Advaneo Data Marketplace		DataSource	Data Sources	Data Sources	Data Marketplace	NGO			https://www.advaneo-datamarketplace.de/en/#				Legacy	Thom Kearney	9/15/2021	Advaneo Data Marketplace			https://www.advaneo-datamarketplace.de/en/#
GCDE:0002032	Advisory Council on Artificial Intelligence		AI	Committees	Councils	Advisory Council on Artificial Intelligence will advise the Government of Canada on building Canadas strengths and global leadership in AI, identifying opportunities to create economic growth that benefits all Canadians, and ensuring that AI advancements reflect Canadian values. The Advisory Council will be a central reference point to draw on leading AI experts from Canadian industry, civil society, academia, and government.	Formal External Advisory			https://ised-isde.canada.ca/site/advisory-council-artificial-intelligence/en				Legacy	Thom Kearney	12/15/2021	Conseil consultatif en matière d'intelligence artificielle		le Conseil consultatif en matire dintelligence artificielle conseillera le gouvernement du Canada sur la façon de renforcer les forces et la position en tant que chef de file mondial du Canada en matire dIA, de cerner les opportunits pour crer une croissance conomique qui profite  tous les Canadiens et de sassurer que les progrs en matire dIA refltent les valeurs canadiennes. Le Conseil consultatif sera un point de rfrence central qui sappuiera sur dminents experts en IA au Canada qui proviendront de lindustrie, de la socit civile, du milieu universitaire et du gouvernement.	https://ised-isde.canada.ca/site/advisory-council-artificial-intelligence/en
GCDE:0000562	Advisory Council on Ethics and Modernization of Microdata Access		DataCentric 	Committees	Councils	The Advisory Council on Ethics and Modernization of Microdata Access provides Statistics Canada with the appropriate guidance on data access, privacy and data governance to maintain and support the data needs of Canadians.	Formal External Advisory			https://www.statcan.gc.ca/eng/about/relevant/acemma				Legacy	Thom Kearney	6/17/2021	Conseil consultatif sur l'éthique et la modernisation de l'accès aux microdonnées		Le Conseil consultatif sur lthique et la modernisation de laccs aux microdonnes fournit  Statistique Canada les directives appropries en matire daccs aux donnes, de protection des renseignements personnels et de gouvernance des donnes, afin de rpondre aux besoins en donnes de la population canadienne. Les connaissances et lexprience des membres du Conseil seront utiles  Statistique Canada dans un contexte où lorganisme semploie  faciliter laccs des chercheurs  des microdonnes anonymises ainsi qu amliorer la scurit des donnes et les protocoles de gestion des risques.	https://atlasclimatique.ca/sources-de-donnees-et-methodologie
GCDE:0002027	Age Appropriate Design and Children's Data Governance		D&I	Policy Instruments	Standards	IEEE 20892021 is the first in a family of standards built upon the 5Rights principles for children and establishes a framework for developing ageappropriate digital services for situations where users are children. This standard has been developed to fill a gap between global efforts to ensure that young people are catered for by design in the digital world, and a lack of practical guidance for how to achieve this. It will help organizations identify and mitigate risks, and seek out opportunities to make their services ageappropriate designed with the best interests of children in mind.	NGO			https://engagestandards.ieee.org/Childrens-tech-design-governance.html?utm_source=ieeesa&utm_medium=aem&utm_campaign=diita-2021&utm_content=2089				Legacy	Thom Kearney	12/9/2021				https://engagestandards.ieee.org/Childrens-tech-design-governance.html?utm_source=ieeesa&utm_medium=aem&utm_campaign=diita-2021&utm_content=2089
GCDE:0005374	Agile Assessment Guide: Best Practices for Agile Adoption and Implementation		Agile, Procurement, Digital	Learning Resources		Agile is an approach to software development in which software is developed incrementally and is continuously evaluated for functionality, quality, and customer satisfaction. Agile can reduce the risks of funding a program that fails or produces outdated technology.  This guide presents US federal auditors and others with best practices to assess the adoption and use of Agile in federal agencies and elsewhere. The federal government is planning to spend at least 90 billion on major IT investments in FY 2021. It has struggled in this area. The governments management of IT acquisitions and operations remains on our High Risk List.	Other Government			https://www.gao.gov/products/gao-20-590g				Essential data complete	Thom Kearney	2/27/2023				
GCDE:0000033	Agriculture and Agri-Food Canada (AAFC)	AAFC	ProvidesServicesToIndigenous, Science, Indigenous, Climate	Organizations	Government of Canada, Science Based Departments and Agencies	Agriculture and AgriFood Canada supports the Canadian agriculture and agrifood sector through initiatives that promote innovation and competitiveness.	Government of Canada	Science Based Departments & Agencies	Health and Food	https://www.agr.gc.ca/eng/agriculture-and-agri-food-canada/?id=1395690825741	Original Prototype			Legacy	Thom Kearney	1/27/2021	Agriculture et  Agroalimentaire Canada (AAC)		Agriculture et Agroalimentaire Canada appuie le secteur de lagriculture et de lagroalimentaire canadien au moyen dinitiatives qui favorisent linnovation et la comptitivit.	https://agriculture.canada.ca/fr
GCDE:0004267	Agri-Environmental Indicator – Agricultural Greenhouse Gas Budget		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/d8e94369-43ad-4fee-a9e9-57901906cc99	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004268	Agri-Environmental Indicator – Ammonia Emissions Data Series		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/f2dac0c4-3e16-4938-beab-9cf2874246e8	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004269	Agri-Environmental Indicator – Particulate Matter		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/59d7289d-1196-477a-bdcf-1af1a5648d2e	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004270	Agri-Environmental Indicator – Residual Soil Nitrogen		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/ca874ba4-e459-48c3-9f13-2dc443c97750	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004271	Agri-Environmental Indicator – Risk of Soil Erosion		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/b52b3c91-e0eb-47d1-aea5-fa5428254512	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004272	Agri-Environmental Indicator – Risk of Soil Salinization		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/8e2583c8-af71-4873-8cca-8081db789121	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004273	Agri-Environmental Indicator – Risk of Water Contamination by Nitrogen		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/86e8b75b-f95c-4068-a34d-aa448c4c1131	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004274	Agri-Environmental Indicator – Soil Cover Days		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/e3d06348-c729-4da1-96a1-4b2ab19a9e01	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004275	Agri-Environmental Indicator – Soil Organic Matter		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/7a31d717-529f-45c2-9273-e7ddfb767331	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004276	Agri-Environmental Indicator – Wildlife Habitat Capacity		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/0ff616fd-417d-4fe3-a574-d554b4492ba7	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004277	Agri-Environmental Indicator (AEI) - Agricultural Greenhouse Gas (GHG) Budget - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/5c9800f3-443d-4e4e-9df2-f0c1c0f54f85	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004278	Agri-Environmental Indicator (AEI) - Ammonia Emissions from Agriculture - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/cc0aadbf-f5e6-41f2-8877-84469bb76076	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004290	Agri-Environmental Indicator (AEI) – Fertilizer Emissions from Agriculture - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/5fec775d-7c91-4ab5-bb63-6db4627e52a0	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004279	Agri-Environmental Indicator (AEI) - Risk of P release in agricultural land (P-Source) - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/fc9e5c73-1c1a-47c1-9de4-612569b718fd	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004280	Agri-Environmental Indicator (AEI) - Risk of Soil Erosion (SoilERI) - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/8eb6862a-b839-4722-acd0-fdb4a72a0685	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004281	Agri-Environmental Indicator (AEI) - Risk of Soil Salinization - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/7468d670-1274-49e5-9769-35f66b6b790e	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004282	Agri-Environmental Indicator (AEI) - Risk of Tillage Erosion on Cultivated Land - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/57069f1b-a5fe-4b95-b64d-b48099ceabf0	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004283	Agri-Environmental Indicator (AEI) - Risk of Water Contamination by Coliforms (IROWC-Coliforms) - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/1f8586b3-9348-499f-b11b-b66a2550f632	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004284	Agri-Environmental Indicator (AEI) - Risk of Water Contamination by Nitrogen (IROWC-N) - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/8f96099a-cb27-45fb-986b-5fdb5f3b1828	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004285	Agri-Environmental Indicator (AEI) - Risk of Water Contamination by Pesticides - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/28baefcf-7036-4959-8ded-86371578c7bd	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004286	Agri-Environmental Indicator (AEI) - Risk of Water Contamination by Phosphorus (IROWC-P) - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/9aeeee45-3cdd-445a-a285-8262a7147cf1	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004287	Agri-Environmental Indicator (AEI) - Risk of Water Erosion on Cultivated Land - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/828e2f24-c845-472a-b990-6bd8dfe963c2	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004288	Agri-Environmental Indicator (AEI) - Risk of Wind Erosion on Cultivated Land - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/c6fcba04-d520-49f5-b00d-54aafac46a83	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004289	Agri-Environmental Indicator (AEI) - Soil Organic Carbon Degradation - 2011		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/3da8d43c-83a4-436f-abbd-d370a953b187	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004692	AI Accelerator for the Government of Canada		DataCentric 	Programs and Services	Programs	The AI Accelerator is a new service that helps Government of Canada departments and agencies harness the power of artificial intelligence AI.	Government of Canada			https://nrc.canada.ca/en/research-development/products-services/technical-advisory-services/ai-accelerator-government-canada				Legacy	Thom Kearney	3/4/2022	L’Accélérateur d’IA pour le gouvernement canadien		LAcclrateur dIA est un nouveau service qui aide les ministres et les organismes fdraux  maîtriser la puissance de lintelligence artificielle IA.	https://nrc.canada.ca/fr/recherche-developpement/produits-services/services-techniques-consultatifs/laccelerateur-dia-gouvernement-canadien
GCDE:0004291	Air pollutant emissions – Ammonia emissions by facility -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/686a92e4-f9c5-4901-a4ba-40c601aec32e	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004292	Air pollutant emissions – Carbon monoxide emissions by facility -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/10fe5551-bc87-488f-9c3d-8da28c727044	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004293	Air pollutant emissions – Fine particulate matter emissions by facility -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/f6660f68-5e78-47b3-9306-9805e1d3d6e9	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004294	Air pollutant emissions – Nitrogen oxide emissions by facility -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/fd4573c5-1d38-448c-8761-cdfcb3c5695b	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004295	Air pollutant emissions – Respirable particulate matter emissions by facility -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/f7b42d5c-40b7-4b82-9b24-8d2011b9eef5	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004296	Air pollutant emissions – Sulphur oxide emissions by facility -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/f4fb2aee-2d1b-4c75-aea1-2a7760cc4b58	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004297	Air pollutant emissions – Total particulate matter emissions by facility -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/2606b1b4-c895-4d23-b466-ad3d64b6381e	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004298	Air pollutant emissions – Volatile organic compound emissions by facility -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/aed50dbf-aa22-40e3-b500-b4f972f3cace	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004299	Air quality – Ambient volatile organic compound concentrations at monitoring stations -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/7c8a7b95-9877-4c31-a78e-716e680a1806	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004300	Air quality – Average ambient fine particulate matter concentrations at monitoring stations -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/e6cc3ae2-92b1-4df6-87ff-698a1cd5a7bd	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004301	Air quality – Average ambient nitrogen dioxide concentrations at monitoring stations - Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/c63ee09d-dc19-46d7-b8f4-0494e15c62b4	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004302	Air quality – Average ambient ozone concentrations at monitoring stations -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/317a24db-49c2-4b0d-bdfd-4de1334fae76	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004303	Air quality – Average ambient sulphur dioxide concentrations at monitoring stations -  Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/5f1b78ab-999a-41f0-82e9-351d236010ca	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004304	Air Quality – Peak ambient fine particulate matter concentrations at monitoring stations - Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/881a606b-69e0-473f-841d-aec9e2815e58	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004305	Air quality – Peak ambient nitrogen dioxide concentrations at monitoring stations - Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/18810159-488e-4de4-b5ed-9e4e68d9a874	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
